id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
1701,DrawIndexed,80,80,0,0,16,0,0,0,80,240,69,0,0
1702,DrawIndexedInstanced,4150,4150,0,0,27,0,0,0,4150,12450,3718,0,0
1703,DrawIndexed,804,804,0,0,20,0,0,0,804,2412,1147,0,0
1704,DrawIndexed,144,144,0,0,19,0,0,0,144,432,198,0,0
1705,DrawIndexed,32,32,0,0,18,0,0,0,32,96,64,0,0
1706,DrawIndexed,299,299,0,0,18,0,0,0,299,897,504,0,0
1707,DrawIndexed,242,242,0,0,19,0,0,0,242,726,403,0,0
1708,DrawIndexed,224,224,0,0,18,0,0,0,224,672,366,0,0
1709,DrawIndexed,532,532,0,0,19,0,0,0,532,1596,690,0,0
1710,DrawIndexed,368,368,0,0,18,0,0,0,368,1104,477,0,0
1711,DrawIndexedInstanced,340,340,0,0,19,0,0,0,340,1020,524,0,0
1712,DrawIndexed,758,758,0,0,19,0,0,0,758,2274,862,0,0
1713,DrawIndexed,17920,0,0,0,58,0,0,0,17920,53760,44533,0,0
1714,DrawIndexedInstanced,836,836,0,0,20,0,0,0,836,2508,809,0,0
1715,DrawIndexedInstanced,3816,3816,0,0,38,0,0,0,3816,11448,3799,1,1
1716,DrawIndexed,2781,2781,0,0,22,0,0,0,2781,8343,2694,0,0
1717,DrawIndexed,1647,1647,0,0,20,0,0,0,1647,4941,1862,0,0
1718,DrawIndexedInstanced,5990,5990,0,0,30,0,0,0,5990,17970,5650,0,0
1719,DrawIndexedInstanced,15516,15516,0,0,44,0,0,0,15516,46548,14827,0,0
1720,DrawIndexedInstanced,8510,8510,0,0,30,0,0,0,8510,25530,7371,0,0
1721,DrawIndexed,924,924,0,0,22,0,0,0,924,2772,904,0,0
1722,DrawIndexed,178,144,0,0,16,0,0,0,178,534,322,0,0
1723,DrawIndexed,154,154,0,0,15,0,0,0,154,462,295,0,0
1724,DrawIndexed,1103,1103,0,0,17,0,0,0,1103,3309,1905,0,0
1725,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1726,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1727,DrawIndexed,154,154,0,0,14,0,0,0,154,462,295,0,0
1728,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1729,DrawIndexed,154,154,0,0,14,0,0,0,154,462,295,0,0
1730,DrawIndexed,644,644,0,0,16,0,0,0,644,1932,1284,0,0
1731,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1732,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1733,DrawIndexed,1103,5,0,0,14,0,0,0,1103,3309,1905,0,0
1734,DrawIndexed,644,644,0,0,16,0,0,0,644,1932,1284,0,0
1735,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1736,DrawIndexed,154,154,0,0,14,0,0,0,154,462,295,0,0
1737,DrawIndexed,644,644,0,0,16,0,0,0,644,1932,1284,0,0
1738,DrawIndexed,424,0,0,0,12,0,0,0,424,1272,576,0,0
1739,DrawIndexed,454,0,0,0,13,0,0,0,454,1362,662,0,0
1740,DrawIndexed,273,52,0,0,14,0,0,0,273,819,350,0,0
1741,DrawIndexed,1257,11,0,0,14,0,0,0,1257,3771,1409,0,0
1742,DrawIndexed,302,302,0,0,15,0,0,0,302,906,587,0,0
1743,DrawIndexed,28,0,0,0,12,0,0,0,28,84,56,0,0
1744,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1745,DrawIndexed,302,302,0,0,14,0,0,0,302,906,587,0,0
1746,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1747,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1748,DrawIndexed,154,154,0,0,14,0,0,0,154,462,295,0,0
1749,DrawIndexed,1103,1047,0,0,15,0,0,0,1103,3309,1905,0,0
1750,DrawIndexed,302,302,0,0,14,0,0,0,302,906,587,0,0
1751,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1752,DrawIndexed,1103,1103,0,0,16,0,0,0,1103,3309,1905,0,0
1753,DrawIndexed,644,644,0,0,16,0,0,0,644,1932,1284,0,0
1754,DrawIndexed,1227,141,0,0,14,0,0,0,1227,3681,1378,0,0
1755,DrawIndexed,154,154,0,0,14,0,0,0,154,462,295,0,0
1756,DrawIndexed,644,644,0,0,14,0,0,0,644,1932,1284,0,0
1757,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1758,DrawIndexed,302,302,0,0,15,0,0,0,302,906,587,0,0
1759,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1760,DrawIndexed,644,644,0,0,15,0,0,0,644,1932,1284,0,0
1761,DrawIndexed,1103,35,0,0,14,0,0,0,1103,3309,1905,0,0
1762,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1763,DrawIndexed,302,302,0,0,15,0,0,0,302,906,587,0,0
1764,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
1765,DrawIndexed,1103,1103,0,0,15,0,0,0,1103,3309,1905,0,0
