id,range_names,GPU Elapsed Time
234,DrawIndexed,5.72
235,DrawIndexed,5.72
236,DrawIndexed,13.8
237,DrawIndexed,8.32
238,DrawIndexed,6.76
239,DrawIndexed,5.12
240,DrawIndexed,14.92
241,DrawIndexed,0.52
242,DrawIndexed,8.16
243,DrawIndexed,7.68
244,DrawIndexed,9.72
245,DrawIndexed,5.28
246,DrawIndexed,9.36
247,DrawIndexed,11.68
248,DrawIndexed,8.48
249,DrawIndexed,21.4
250,DrawIndexed,11.76
251,DrawIndexed,6.64
252,DrawIndexed,9.04
253,DrawIndexed,8.84
254,DrawIndexed,7.8
255,DrawIndexed,0.56
256,DrawIndexed,9.84
257,DrawIndexed,0.52
258,DrawIndexed,9.2
259,DrawIndexed,5.28
260,DrawIndexed,11.92
261,DrawIndexed,5.84
262,DrawIndexed,9.64
263,DrawIndexed,7.48
264,DrawIndexed,0.56
265,DrawIndexed,8.36
266,DrawIndexed,17.52
267,DrawIndexed,5.64
268,DrawIndexed,8.52
269,DrawIndexed,5.32
270,DrawIndexed,6.12
271,DrawIndexed,5.88
272,DrawIndexed,18.36
273,DrawIndexed,5.28
274,DrawIndexed,7.24
275,DrawIndexed,23.4
276,DrawIndexed,6.84
277,DrawIndexed,9.28
278,DrawIndexed,12.52
279,DrawIndexed,5.32
280,DrawIndexed,8.76
281,DrawIndexed,6.2
282,DrawIndexed,0.56
283,DrawIndexed,8.44
284,DrawIndexed,5.96
285,DrawIndexed,4.48
286,DrawIndexed,16.16
287,DrawIndexed,5.32
288,DrawIndexed,7.2
289,DrawIndexed,6.32
290,DrawIndexed,8.92
291,DrawIndexed,11.48
292,DrawIndexed,9.08
293,DrawIndexed,8.48
294,DrawIndexed,5.72
295,DrawIndexed,0.56
296,DrawIndexed,9.12
297,DrawIndexed,7.92
298,DrawIndexed,0.6
299,DrawIndexed,14.64
300,DrawIndexed,6.84
301,DrawIndexed,9.84
302,DrawIndexed,8.88
303,DrawIndexed,9.04
304,DrawIndexed,5.76
305,DrawIndexed,5.76
306,DrawIndexed,7.12
307,DrawIndexed,0.52
308,DrawIndexed,9.04
309,DrawIndexed,5.36
310,DrawIndexed,33.32
311,DrawIndexed,10.76
312,DrawIndexed,8.52
313,DrawIndexed,0.56
314,DrawIndexed,9.84
315,DrawIndexed,11.32
316,DrawIndexed,0.56
317,DrawIndexed,9.12
318,DrawIndexed,6.32
319,DrawIndexed,7.96
320,DrawIndexed,7.12
321,DrawIndexed,8.92
322,DrawIndexed,8
323,DrawIndexed,9.6
324,DrawIndexed,9
325,DrawIndexed,9.12
326,DrawIndexed,5.4
327,DrawIndexed,5.6
328,DrawIndexed,8.8
329,DrawIndexed,8.72
330,DrawIndexed,0.6
331,DrawIndexed,7.92
332,DrawIndexed,5.32
333,DrawIndexed,0.52
