id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations,GPU Frequency,CS EM Pipe Active,CS FPU Pipe Active,CS Send Pipeline Active,CS Threads Dispatched,DS EM Pipe Active,DS FPU Pipe Active,DS Send Pipe Active,GPU Duration,Early Depth Test Fails,EM Pipe Active,EU Active,EU FPU And EM Pipes Active,EU Send Pipe Active,EU Stall,EU Thread Occupancy,EU FPU Pipe Active,GPU Core Clocks,GS EM Pipe Active,GS FPU Pipe Active,GS Send Pipe Active,GTI Read Throughput,GTI Write Throughput,SQ00 is full,SQ01 is full,SQ10 is full,SQ11 is full,Early Hi-Depth Test Fails,HS EM Pipe Active,HS FPU Pipe Active,HS Send Pipe Active,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice0 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice1 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice2 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice3 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice4 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice5 Thread Dispatcher,Slice0 Pipe0 Post-EarlyZ Pixel Data Ready,Slice0 Pipe0 Pixel Values Ready,Slice0 Pipe1 Pixel Values Ready,Slice0 Pipe2 Pixel Values Ready,Polygon Data Ready,PS EM Pipe Active,PS FPU Pipe Active,PS Send Pipeline Active,Slice0 Pipe0 PS Output Available,Slice0 Pipe1 PS Output Available,Slice0 Pipe2 PS Output Available,PS Thread Ready For Dispatch on Slice0 Dualsubslice0 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice1 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice2 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice3 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice4 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice5 Thread Dispatcher,Rasterized Pixels,Slice0 Rasterizer Input Available,Slice0 Rasterizer Output Ready,Slice0 DualSubslice0 Input Available,Slice0 DualSubslice0 Sampler Output Ready,Slice0 DualSubslice1 Input Available,Slice0 DualSubslice1 Sampler Output Ready,Slice0 DualSubslice2 Input Available,Slice0 DualSubslice2 Sampler Output Ready,Slice0 DualSubslice3 Input Available,Slice0 DualSubslice3 Sampler Output Ready,Slice0 DualSubslice4 Input Available,Slice0 DualSubslice4 Sampler Output Ready,Slice0 DualSubslice5 Input Available,Slice0 DualSubslice5 Sampler Output Ready,Samplers Bottleneck,Sampler Texels,Samplers Busy,Samples Blended,Samples Killed in PS,Samples Written,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 3,VS EM Pipe Active,VS FPU Pipe Active,VS Send Pipe Active
2125,DrawIndexed,1,1,0,0,0,0,0,1,3,3,2.0736e+06,2.0736e+06,1279,0,2.01006e-06,0,0,0,0,0,2966,0,8.26494,84.1013,7.31979,2.43971,15.325,98.6836,83.3498,3.86736e+06,0,0,0,2.50902e+07,9.15904e+06,0,0,0,0,0,0,0,0,0.000158292,0,0,0,0,0,98.2261,4.59904,4.59909,4.59901,0.000132572,8.38252,82.1523,2.51037,4.58823,4.58823,4.58823,96.1601,98.395,98.2376,94.3119,98.741,73.4914,2.0736e+06,80.2321,81.3778,32.1689,29.9545,32.1622,29.8871,31.9511,29.9601,32.0205,29.9173,32.1235,30.04,32.0721,30.0728,0.142397,3.2138e+07,98.1605,0,0,2.0736e+06,2.94376,0.785075,0.784996,0.782173,0.782094,2.95861,0.782965,0.782675,0.784126,0.784416,2.89367,0.770375,0.770375,0.771517,0.771517,2.88931,0.768091,0.767805,0.774087,0.773802,2.89899,0.771803,0.771517,0.770375,0.77009,2.89535,0.781588,0.781878,0.783907,0.783617,0,1.82086e-05,1.99087e-05
2126,DrawIndexed,3236,215,0,0,0,0,0,3236,9708,1627,400389,421140,1299,0,0,0,0,0,0,0,60,5044,0.0243891,33.3937,0.0162331,6.67416,48.6419,66.9934,28.4329,76954,0,0,0,1.87744e+06,742016,0,0,0,0,582096,0,0,0,0.207607,0.200058,0.196283,0.192509,0.192509,0.188734,63.3322,44.4703,43.9841,45.1988,87.232,0.00169916,25.8754,7.36264,44.846,44.0057,45.1925,57.432,55.3257,56.0776,55.3257,57.6345,57.8839,1.00828e+06,88.8897,88.7171,44.1226,24.0242,45.106,24.4966,43.9474,24.4842,45.4743,23.5322,44.9743,25.2134,43.6315,24.3878,8.73509,1.26342e+06,77.892,421140,0,421140,36.9642,12.435,12.4766,12.8943,12.883,36.3413,12.6615,12.6439,12.6301,12.5823,37.2664,12.8372,12.8851,13.0236,13.0352,37.2185,12.709,12.6456,12.9381,12.9239,37.8657,13.2242,13.1336,13.2798,13.2643,37.1897,12.778,12.8679,12.9729,13.0109,0.0241225,0.577613,0.206691
2127,DrawIndexed,2,2,0,0,0,0,0,2,6,4,8785,9016,1299,0,0,0,0,0,0,0,11,232,0.968751,16.1591,0.732432,0.825341,39.1741,40.0262,15.1685,14566,0,0,0,26944,6208,0,0,0,0,194608,0,0,0,0.0383044,0,0,0,0,0,0.898721,0.027653,0,0.110612,0.0265993,1.0539,13.8981,0.967494,0.0345662,0.00691324,0.117525,4.42554,4.39256,5.23018,4.84105,3.82535,3.87152,203856,15.534,15.7276,4.99862,1.47279,5.033,1.35895,5.52118,1.79296,5.95435,1.62931,4.30418,1.1953,4.22167,2.24831,0,27104,40.2993,80,0,80,4.32201,1.70455,1.83861,1.84499,1.83861,4.25179,1.83861,1.68539,1.83861,1.83861,5.78313,2.43885,2.45345,2.45345,2.45345,5.35962,2.2782,2.2636,2.2782,2.2782,4.23512,1.75246,1.75246,1.75246,1.91311,3.87152,1.5829,1.5829,1.69503,1.5829,0.000464546,0.0211559,0.0100529
2128,DrawIndexed,2,2,0,0,0,0,0,2,6,4,195683,198872,1299,0,0,0,0,0,0,0,31,1236,1.93695,48.729,1.70599,6.16097,38.2722,81.5171,41.8264,36498,0,0,0,1.03731e+06,151104,0,0,0,0,47948,0,0,0,0.0141236,0,0,0,0,0,83.6701,26.7903,26.6937,26.956,0.00984276,2.09921,41.9869,6.64785,26.771,26.6882,26.9505,76.8379,66.7001,60.1635,77.3984,74.0733,71.5442,248056,58.931,59.6461,75.4618,32.8087,73.9334,32.1776,73.8935,33.1151,75.8691,32.0335,73.4326,32.662,74.1483,32.5625,10.9458,397744,84.6649,116492,0,116492,28.5862,9.15211,9.16859,9.21567,9.18742,27.4728,9.21567,9.25098,9.07443,9.11445,32.4046,10.6077,10.6132,10.7366,10.7037,33.1505,10.6955,10.6543,10.6489,10.6543,32.0069,10.6955,10.7448,10.8408,10.8189,32.9561,10.433,10.4384,10.6009,10.6415,0,0.00374214,0.0018341
2129,DrawIndexed,2,0,0,0,0,0,0,2,6,4,0,0,1300,0,0,0,0,0,0,0,2,0,0,0.095511,0,0.029703,0.308705,0.090638,0.0538915,2443,0,0,0,1024,384,0,0,0,0,0,0,0,0,0.0291276,0,0,0,0,0,0.0811359,0,0,0,0.0612557,0,0.00330033,0,0.040568,0.040568,0.040568,0,0,0,0,0,0,0,0.0811359,0.0811359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291276,0.0145638,0,0,0.0145638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594059,0.0298567
2130,DrawIndexed,2,2,0,0,0,0,0,2,6,4,98649,101328,1298,0,0,0,0,0,0,0,29,708,2.29085,50.6556,2.03248,6.66622,32.8683,78.6183,49.4475,17872,0,0,0,455040,70528,0,0,0,0,15092,0,0,0,0.0341841,0,0,0,0,0,75.4678,27.2776,27.7254,27.139,0.0211048,2.26264,45.4037,7.16579,27.2722,27.6987,27.139,63.6064,66.3623,62.0496,67.1544,53.3858,74.487,117128,41.58,44.2028,46.402,35.8213,46.332,35.2164,47.2907,36.3041,47.7378,34.4395,49.2136,35.3774,48.6588,34.5394,10.357,202656,81.5521,61600,0,61600,34.0987,11.4517,11.3833,11.2124,11.1953,33.8423,11.4517,11.3662,11.2808,11.2694,33.6739,11.2003,11.2845,11.1161,11.161,33.7581,11.1722,11.2172,11.0319,11.0319,32.7981,11.1722,11.1161,11.1161,11.1273,31.993,10.8202,10.8092,10.9467,10.8917,0,0.00839074,0.00405033
2131,DrawIndexed,2,0,0,0,0,0,0,2,6,4,0,0,1298,0,0,0,0,0,0,0,1,0,0,0.130573,0,0.0419698,0.423195,0.117249,0.0843095,1787,0,0,0,768,320,0,0,0,0,0,0,0,0,0.0911716,0,0,0,0,0,0.104822,0,0,0,0.111545,0,0.00466331,0,0.0524109,0.0524109,0.0524109,0,0,0,0,0,0,0,0.104822,0.104822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911716,0,0.0455858,0,0.0455858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839396,0.0357995
2132,DrawIndexed,2,0,0,0,0,0,0,2,6,4,0,0,1298,0,0,0,0,0,0,0,1,0,0,0.125583,0,0.037037,0.405902,0.120457,0.0853549,1858,0,0,0,832,320,0,0,0,0,0,0,0,0,0.314136,0,0,0,0,0,0.103252,0,0,0,0.106952,0,0,0,0.0516262,0.0516262,0.0516262,0,0,0,0,0,0,0,0.103252,0.103252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314136,0.157068,0,0.157068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781893,0.040107
2133,DrawIndexed,1013,1013,0,0,0,0,0,1013,3039,1369,1060,1916,1299,0,0,0,0,0,0,0,16,604,0.321195,7.76744,0.118721,0.935121,63.722,27.2938,6.47682,19891,0,0,0,112256,3136,0,0,0,0,4036,0,0,0,0.213965,0.213965,0.213965,0.206833,0.192568,0.185436,4.73138,0.84157,0.934534,0.56757,5.67501,0.309092,5.15837,0.47282,0.846462,0.939427,0.572463,1.65934,1.70898,1.52224,1.58134,1.19132,1.16296,6556,5.78824,5.42127,3.04947,2.6127,3.25048,2.46728,3.90744,2.47698,3.38285,2.95686,1.91695,1.67232,1.77967,1.74018,0,17608,38.6909,1916,0,1916,1.83534,0.565818,0.653781,0.706084,0.61812,1.89953,0.591969,0.660913,0.660913,0.679932,3.66216,1.19724,1.31294,1.25258,1.49404,3.78792,1.54434,1.35822,1.59968,1.35822,2.97802,1.06142,0.93063,1.10167,1.07651,1.36151,0.498747,0.411289,0.465655,0.479837,0.0140072,1.18681,0.479005
2134,DrawIndexed,2,5,0,0,0,0,0,2,6,4,22353,22884,1298,0,0,0,0,0,0,0,6,512,1.07214,24.9776,0.93044,3.39263,30.6083,46.0644,23.2003,8454,0,0,0,84800,19264,0,0,0,0,25316,0,0,0,0.0754148,0,0,0,0,0,34.8433,2.84384,2.37826,3.43526,0.0857948,1.10498,23.0476,3.50235,2.85642,2.39084,3.44784,39.9801,35.858,37.7576,37.8818,39.2848,38.4405,48712,8.53152,9.70177,19.4528,16.8651,17.9778,17.5893,18.6208,17.1965,18.7973,14.9994,18.5577,15.5517,18.8099,14.9012,4.8616,45768,50.2484,2752,0,2752,14.9196,5.73152,5.88235,5.84465,5.79437,13.9392,5.49271,5.46757,5.68125,5.69382,14.3077,5.76923,5.83333,5.87179,5.76923,14.5,5.57692,5.76923,5.74359,5.79487,14.0128,5.73077,5.80769,5.76923,5.76923,14.229,5.61212,5.62453,5.77353,5.61212,0,0.0177599,0.00966993
