Region,Id,Name,Params,,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,1,Draw,14,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,2,Draw,2501,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,3,Draw,832,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,4,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,5,Draw,2501,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,6,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,7,Draw,2501,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,8,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,9,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,10,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,11,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,12,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,13,Draw,4496,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,14,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,15,Draw,4496,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,16,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,17,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,18,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,19,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,20,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,21,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,22,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,23,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,24,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,25,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,26,Draw,2501,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,27,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,28,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,29,Draw,832,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,30,Draw,476,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,31,Draw,465,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,32,Draw,998,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,33,Draw,998,0,,,,,,,,,,,
\MeshSkinning.SkinOnGPU,34,Draw,7767,0,,,,,,,,,,,
\Camera.Render\Drawing\Render.OpaqueGeometry\RenderForwardOpaque.Render\Clear,35,ClearRenderTargetView,1281, { 0,0,1, 1 },,,,,,,,
\Camera.Render\Drawing\Render.OpaqueGeometry\RenderForwardOpaque.Render\RenderForward.RenderLoopJob,36,DrawIndexed,432,0,0,,,,,,,,,,
\Camera.Render\Drawing\Render.OpaqueGeometry\RenderForwardOpaque.Render\RenderForward.RenderLoopJob,37,DrawIndexed,432,0,0,,,,,,,,,,
\Camera.Render\Drawing\Render.OpaqueGeometry\RenderForwardOpaque.Render\Clear,38,ClearRenderTargetView,1402, { 0,0,0, 0 },,,,,,,,
\Camera.Render\Drawing\Render.OpaqueGeometry\RenderForwardOpaque.Render\Clear,39,ClearDepthStencilView,1406,3,0,0,,,,,,,,,
